Logan 5.1.1
rawFileName="H:\timo\research\PoweredUp\data\{None} 9326 201402051224.raw"
From=0:00.0, To=5:32.9
Date=05Feb2014
Time=12:24:59
Athlete={None}
EventDescription=
Time, Forward, Sideways, Up, Gyr1(d/s), Gyr2(d/s), Gyr3(d/s), Mag Fwd, Mag Left, Mag Up, 
0:02.38, -0.021, 0.927, 0.108, -0.079, 8.687, 4.758, -0.166, 0.396, -1.028, 
0:02.39, -0.021, 0.927, 0.108, -0.079, 8.687, 3.296, -0.166, 0.396, -1.028, 
0:02.40, -0.014, 0.927, 0.101, -0.688, 8.687, 4.758, -0.166, 0.396, -1.028, 
0:02.41, -0.014, 0.927, 0.095, -0.688, 8.687, 4.393, -0.166, 0.396, -1.028, 
0:02.42, -0.014, 0.927, 0.095, -0.688, 8.687, 4.393, -0.166, 0.396, -1.025, 
0:02.43, -0.014, 0.927, 0.095, -0.079, 8.687, 4.393, -0.164, 0.396, -1.025, 
0:02.44, -0.014, 0.921, 0.108, -0.688, 8.687, 4.393, -0.166, 0.396, -1.025, 
0:02.45, -0.014, 0.921, 0.108, -0.688, 8.340, 4.393, -0.166, 0.396, -1.025, 
0:02.46, -0.014, 0.921, 0.108, -0.688, 8.340, 4.393, -0.166, 0.396, -1.025, 
0:02.47, -0.014, 0.921, 0.108, -0.688, 8.340, 4.393, -0.166, 0.392, -1.025, 
